Row,ID,Height,Weight (in),Release Clause (Eur),Value (Eur),Wage (Eur)
3002,211107,73,179,95000000,43000000,8000
3003,232099,75,181,,6000000,51000
3004,182435,76,185,41000000,31000000,6000
3005,214949,70,157,121000000,55000000,16000
3006,192165,69,165,39000000,31000000,5000
3007,213414,75,181,83000000,44000000,17000
3008,201895,68,141,76000000,5000000,6000
3009,178600,75,187,62000000,31000000,14000
3010,182440,71,146,63000000,39000000,16000
3011,207785,67,165,62000000,29000000,1000
3012,228777,74,176,72000000,47000000,2000
3013,200106,69,159,,4000000,40000
3014,210602,69,150,73000000,43000000,29000
3015,222634,72,198,116000000,55000000,34000
3016,222123,73,190,71000000,45000000,6000
3017,183211,75,190,7000000,32000000,1000
3018,234924,74,163,109000000,55000000,26000
3019,185260,73,176,62000000,31000000,20000
3020,190636,68,165,53000000,31000000,19000
3021,236461,76,194,14000000,7000000,18000
3022,188334,72,187,45000000,26000000,13000
3023,200111,70,159,58000000,37000000,12000
3024,214191,73,181,54000000,36000000,4000
3025,162223,70,165,44000000,35000000,9000
3026,167599,72,165,46000000,37000000,4000
3027,125871,72,165,6000000,32000000,43000
3028,215985,71,168,48000000,32000000,4000
3029,167601,72,170,58000000,26000000,1000
3030,181681,73,176,51000000,27000000,12000
3031,208306,72,159,105000000,55000000,14000
3032,185010,71,172,42000000,3000000,8000
3033,168883,67,152,,23000000,29000
3034,179891,69,154,5000000,31000000,17000
3035,198836,71,150,82000000,41000000,19000
3036,222644,70,172,,55000000,11000
3037,207797,76,194,,0,0
3038,142773,68,157,3000000,2000000,13000
3039,220085,71,165,11000000,55000000,19000
3040,240309,72,185,62000000,39000000,15000
3041,234678,72,176,85000000,5000000,9000
3042,204215,73,161,99000000,5000000,22000
3043,143799,76,181,11000000,550000,12000
3044,231095,70,165,6000000,3000000,14000
3045,212408,76,181,84000000,4000000,7000
3046,24248,67,143,18000000,13000000,8000
3047,230328,75,181,49000000,26000000,11000
3048,178616,72,172,48000000,3000000,8000
3049,213433,73,187,65000000,36000000,19000
3050,179897,74,170,,0,0
3051,158394,73,183,42000000,26000000,23000
3052,230330,73,172,31000000,16000000,10000
3053,205243,75,192,73000000,39000000,19000
3054,192955,72,181,75000000,4000000,35000
3055,198076,74,185,,32000000,24000
3056,202428,71,174,,5000000,13000
3057,201149,75,185,67000000,4000000,8000
3058,214206,69,159,52000000,39000000,4000
3059,214462,73,168,7000000,41000000,8000
3060,199103,77,185,36000000,24000000,10000
3061,203455,71,170,65000000,4000000,4000
3062,210111,71,165,,45000000,17000
3063,214207,70,183,92000000,42000000,1000
3064,232639,68,154,116000000,7000000,6000
3065,202944,72,161,84000000,48000000,14000
3066,210881,70,150,109000000,55000000,15000
3067,220609,69,157,116000000,55000000,27000
3068,186817,74,179,57000000,27000000,6000
3069,194753,73,165,,32000000,61000
3070,230850,70,163,78000000,49000000,13000
3071,190915,73,183,5000000,39000000,24000
3072,234949,68,143,58000000,43000000,9000
3073,181445,73,176,3000000,23000000,6000
3074,206022,76,196,39000000,31000000,6000
3075,210118,70,146,67000000,3000000,1000
3076,225478,71,181,76000000,55000000,11000
3077,198599,70,159,75000000,38000000,37000
3078,207559,69,163,83000000,55000000,19000
3079,219591,74,174,95000000,5000000,44000
3080,212424,68,150,68000000,43000000,6000
3081,243656,73,168,116000000,55000000,31000
3082,188616,67,143,66000000,39000000,27000
3083,190664,73,183,68000000,4000000,22000
3084,191688,74,212,53000000,31000000,28000
3085,221641,74,187,69000000,44000000,7000
3086,229321,68,146,85000000,4000000,12000
3087,232905,69,150,65000000,49000000,9000
3088,204234,71,174,59000000,36000000,6000
3089,18122,73,190,405000,270000,6000
3090,211147,70,165,79000000,45000000,17000
3091,189899,74,179,39000000,31000000,5000
3092,215245,69,146,109000000,55000000,21000
3093,226765,67,154,54000000,36000000,15000
3094,227789,71,161,65000000,49000000,7000
3095,192205,74,179,62000000,32000000,19000
3096,174542,72,192,378000,270000,5000
3097,200911,72,165,72000000,36000000,16000
3098,224719,70,165,109000000,5000000,1000
3099,190671,72,179,62000000,34000000,20000
3100,206544,73,181,63000000,42000000,11000
3101,155344,72,172,12000000,950000,4000
3102,181456,72,174,59000000,3000000,17000
3103,229585,74,181,,0,0
3104,230353,67,150,22000000,11000000,13000
3105,215250,74,192,35000000,24000000,10000
3106,188370,72,168,59000000,3000000,18000
3107,189650,72,176,83000000,38000000,1000
3108,236499,70,154,,65000000,55000
3109,181459,72,181,34000000,15000000,1000
3110,198868,74,176,57000000,39000000,12000
3111,205524,72,148,66000000,32000000,9000
3112,216020,67,152,6000000,38000000,13000
3113,226773,71,150,147000000,7000000,31000
3114,228821,72,170,,55000000,36000
3115,204246,76,181,71000000,36000000,30000
3116,231638,73,183,126000000,6000000,32000
3117,204247,67,154,99000000,5000000,17000
3118,208088,72,161,108000000,48000000,69000
3119,228312,71,168,84000000,5000000,9000
3120,183256,69,168,,41000000,36000
3121,197081,65,146,86000000,43000000,15000
3122,230361,68,141,22000000,11000000,13000
3123,210394,70,168,92000000,45000000,15000
3124,199387,73,163,77000000,39000000,17000
3125,183774,74,172,62000000,32000000,46000
3126,190942,72,163,4000000,31000000,18000
3127,196318,69,143,94000000,43000000,19000
3128,7647,75,172,419000,270000,2000
3129,208607,72,172,26000000,16000000,9000
3130,221919,69,159,79000000,5000000,8000
3131,231391,67,146,126000000,6000000,28000
3132,183519,74,176,81000000,4000000,13000
3133,199392,70,172,5000000,3000000,22000
3134,214497,72,154,57000000,4000000,4000
3135,169697,74,172,46000000,24000000,31000
3136,168930,69,146,6000000,38000000,10000
3137,190947,77,203,55000000,35000000,11000
3138,225252,69,150,63000000,43000000,4000
3139,234468,69,148,88000000,55000000,16000
3140,218341,74,192,83000000,44000000,20000
3141,142822,72,183,29000000,19000000,12000
3142,177126,72,165,27000000,18000000,9000
3143,186598,71,161,57000000,3000000,22000
3144,203239,76,194,7000000,32000000,8000
3145,215015,72,168,47000000,31000000,10000
3146,236007,66,146,181000000,85000000,4000
3147,204776,75,198,75000000,38000000,9000
3148,211176,72,170,,5000000,32000
3149,213480,67,143,52000000,4000000,7000
3150,239593,72,170,77000000,49000000,20000
3151,181481,74,218,3000000,2000000,10000
3152,193001,70,161,43000000,24000000,7000
3153,219626,68,139,7000000,45000000,12000
3154,156650,69,168,62000000,31000000,20000
3155,223978,67,143,,7000000,55000
3156,189930,70,154,6000000,32000000,43000
3157,192490,72,159,6000000,38000000,9000
3158,226539,71,139,76000000,5000000,8000
3159,237291,75,194,8000000,48000000,10000
3160,176619,73,172,,32000000,10000
3161,181483,74,172,31000000,16000000,15000
3162,186347,68,165,66000000,32000000,1000
3163,158956,69,157,23000000,16000000,7000
3164,199661,67,157,5000000,31000000,20000
3165,200429,68,148,11000000,55000000,20000
3166,155885,70,157,54000000,31000000,13000
3167,203502,67,150,114000000,55000000,37000
3168,204526,69,150,109000000,5000000,17000
3169,143598,75,190,798000,550000,5000
3170,221422,74,165,,0,0
3171,188654,72,172,62000000,31000000,17000
3172,201967,72,154,69000000,5000000,20000
3173,220655,70,146,,55000000,18000
3174,236527,70,165,127000000,55000000,15000
3175,189167,70,190,62000000,31000000,34000
3176,200433,76,190,78000000,47000000,17000
3177,206577,74,163,101000000,49000000,19000
3178,226289,73,168,82000000,48000000,11000
3179,224242,73,172,,44000000,10000
3180,236786,72,161,137000000,65000000,35000
3181,222707,67,128,105000000,55000000,18000
3182,226803,74,194,71000000,45000000,6000
3183,230899,69,172,147000000,7000000,46000
3184,172019,70,159,57000000,38000000,17000
3185,137460,67,152,32000000,2000000,5000
3186,183540,67,134,75000000,4000000,24000
3187,230389,72,174,66000000,35000000,21000
3188,200438,69,154,,42000000,5000
3189,212214,69,152,74000000,47000000,17000
3190,234742,69,146,,7000000,34000
3191,244470,69,165,94000000,41000000,1000
3192,186614,74,172,,4000000,5000
3193,226807,68,165,79000000,47000000,6000
3194,183287,69,154,47000000,27000000,8000
3195,184823,70,172,7000000,35000000,13000
3196,231416,74,170,,6000000,29000
3197,183288,73,190,51000000,27000000,42000
3198,158969,69,163,29000000,2000000,12000
3199,164857,72,163,39000000,18000000,9000
3200,230393,75,194,66000000,35000000,17000
3201,189177,67,159,91000000,46000000,12000
3202,235002,75,183,93000000,45000000,10000
3203,226811,70,163,94000000,55000000,12000
3204,190459,74,192,46000000,33000000,6000
3205,217085,70,157,97000000,45000000,7000
3206,218621,69,163,47000000,32000000,14000
3207,188413,68,150,38000000,27000000,7000
3208,190461,73,190,,0,0
3209,204542,68,150,6000000,4000000,8000
3210,212478,73,185,75000000,48000000,8000
3211,160766,72,170,61000000,36000000,48000
3212,193535,72,187,4000000,27000000,12000
3213,207616,75,165,7000000,35000000,23000
3214,142592,69,159,15000000,975000,9000
3215,230144,69,150,84000000,4000000,14000
3216,188930,67,150,19000000,12000000,7000
3217,210947,68,176,85000000,39000000,1000
3218,146947,75,185,,35000000,14000
3219,233219,74,176,76000000,36000000,21000
3220,240899,75,187,52000000,33000000,10000
3221,199940,63,139,4000000,29000000,4000
3222,219652,70,157,85000000,39000000,15000
3223,236548,74,174,9000000,39000000,1000
3224,206085,70,163,96000000,46000000,27000
3225,209669,76,183,51000000,24000000,19000
3226,220165,72,192,75000000,42000000,35000
3227,231685,70,168,91000000,43000000,26000
3228,176901,68,154,19000000,14000000,3000
3229,200966,70,161,55000000,27000000,14000
3230,203782,68,152,6000000,36000000,4000
3231,204550,74,174,4000000,32000000,5000
3232,210438,70,154,73000000,39000000,7000
3233,222982,72,172,,4000000,13000
3234,210695,72,179,42000000,26000000,3000
3235,224263,69,148,78000000,37000000,35000
3236,241671,74,174,82000000,34000000,1000
3237,184071,76,168,26000000,18000000,6000
3238,190471,67,143,54000000,25000000,1000
3239,207624,73,179,,37000000,45000
3240,216072,68,139,39000000,25000000,4000
3241,209673,74,174,52000000,33000000,10000
3242,210697,74,170,71000000,37000000,27000
3243,146953,73,170,26000000,16000000,8000
3244,149258,74,183,12000000,725000,2000
3245,220938,67,154,85000000,39000000,8000
3246,222986,72,168,26000000,21000000,8000
3247,238858,69,148,111000000,48000000,6000
3248,192778,73,181,42000000,28000000,12000
3249,197900,74,154,56000000,37000000,22000
3250,213260,68,139,54000000,37000000,4000
3251,222988,69,165,29000000,24000000,10000
3252,242444,71,154,171000000,65000000,5000
3253,225293,73,174,93000000,46000000,6000
3254,245261,69,154,9000000,42000000,4000
3255,216334,70,148,65000000,42000000,13000
3256,217870,72,181,63000000,34000000,9000
3257,177934,69,150,47000000,29000000,14000
3258,193550,70,163,55000000,29000000,31000
3259,203279,65,152,82000000,38000000,1000
3260,23823,72,159,531000,425000,4000
3261,233231,71,159,99000000,43000000,18000
3262,183567,76,194,48000000,24000000,16000
3263,203024,68,157,26000000,21000000,4000
3264,208144,70,165,,39000000,4000
3265,212240,74,183,76000000,41000000,18000
3266,148496,74,190,294000,210000,4000
3267,215056,70,161,45000000,32000000,3000
3268,215568,73,176,77000000,43000000,7000
3269,163600,76,214,36000000,19000000,31000
3270,52752,70,154,27000000,19000000,12000
3271,203793,72,154,56000000,33000000,21000
3272,237841,72,170,66000000,39000000,5000
3273,206098,72,159,57000000,32000000,26000
3274,234514,71,161,6000000,29000000,13000
3275,52498,70,165,11000000,725000,10000
3276,210964,74,165,61000000,34000000,32000
3277,215060,71,172,51000000,32000000,8000
3278,223765,72,168,,34000000,15000
3279,230421,69,165,18000000,950000,18000
3280,223510,72,190,83000000,42000000,26000
3281,231447,70,172,8000000,5000000,6000
3282,187415,72,174,,0,0
3283,226584,68,143,82000000,48000000,5000
3284,230424,72,172,51000000,27000000,12000
3285,191256,74,183,16000000,950000,17000
3286,203801,70,165,33000000,24000000,15000
3287,207641,68,154,54000000,33000000,7000
3288,215321,76,187,31000000,21000000,11000
3289,175897,74,192,42000000,21000000,9000
3290,198426,72,165,4000000,29000000,5000
3291,137242,72,165,21000000,16000000,4000
3292,205594,73,168,8000000,37000000,8000
3293,211738,76,187,52000000,28000000,12000
3294,224538,69,150,10000000,44000000,5000
3295,232730,72,161,,45000000,19000
3296,167706,76,185,39000000,3000000,7000
3297,221467,70,163,54000000,41000000,5000
3298,225563,70,161,91000000,41000000,6000
3299,226075,69,143,65000000,29000000,1000
3300,182043,75,183,42000000,19000000,10000
3301,186139,71,190,62000000,33000000,41000
3302,186651,70,143,59000000,29000000,13000
3303,199964,72,146,46000000,33000000,4000
3304,204060,67,163,,29000000,12000
3305,168732,68,139,36000000,24000000,10000
3306,109852,75,196,765000,425000,23000
3307,207645,69,139,73000000,37000000,25000
3308,212253,74,185,46000000,34000000,14000
3309,230429,69,168,18000000,950000,15000
3310,191005,72,172,43000000,22000000,14000
3311,203038,72,161,8000000,42000000,55000
3312,214302,67,141,67000000,42000000,6000
3313,237086,74,194,57000000,38000000,6000
3314,184606,71,161,48000000,23000000,5000
3315,200223,69,168,61000000,39000000,10000
3316,205343,71,157,64000000,38000000,4000
3317,208159,74,196,91000000,43000000,38000
3318,219167,74,190,,27000000,14000
3319,209440,69,152,56000000,33000000,28000
3320,237600,69,157,97000000,46000000,18000
3321,239904,76,194,71000000,33000000,1000
3322,159265,74,179,336000,210000,2000
3323,181281,75,185,48000000,32000000,9000
3324,193569,73,161,58000000,29000000,19000
3325,214562,72,176,68000000,31000000,1000
3326,228386,78,198,105000000,44000000,1000
3327,230434,70,165,44000000,23000000,10000
3328,192546,72,172,49000000,26000000,10000
3329,193314,72,172,57000000,26000000,12000
3330,206115,73,174,78000000,37000000,25000
3331,228644,69,150,52000000,33000000,12000
3332,188196,69,143,,27000000,15000
3333,201509,70,154,39000000,25000000,8000
3334,212261,68,157,,44000000,21000
3335,232229,75,161,62000000,39000000,5000
3336,220710,68,154,,55000000,48000
3337,226086,67,154,63000000,42000000,11000
3338,211239,67,143,86000000,42000000,17000
3339,232999,69,150,81000000,48000000,3000
3340,201000,74,170,65000000,29000000,1000
3341,161832,71,174,31000000,2000000,9000
3342,201257,69,165,59000000,28000000,15000
3343,204841,71,161,53000000,25000000,11000
3344,210985,69,165,9000000,43000000,29000
3345,230441,71,174,51000000,27000000,11000
3346,220714,78,176,98000000,47000000,25000
3347,220715,70,172,112000000,47000000,1000
3348,236075,74,168,17000000,875000,17000
3349,234028,71,172,57000000,3000000,25000
3350,236076,71,165,49000000,26000000,14000
3351,202541,71,154,62000000,33000000,21000
3352,219181,69,152,4000000,3000000,8000
3353,199726,75,170,,23000000,11000
3354,137774,72,165,13000000,725000,7000
3355,223278,70,157,24000000,12000000,15000
3356,227886,70,165,51000000,36000000,2000
3357,232238,70,174,43000000,32000000,2000
3358,121134,74,194,11000000,725000,12000
3359,209711,75,192,41000000,27000000,10000
3360,222511,74,183,55000000,32000000,6000
3361,228144,68,172,8000000,44000000,8000
3362,230448,70,157,44000000,23000000,11000
3363,192816,74,176,7000000,32000000,15000
3364,204337,71,179,44000000,29000000,9000
3365,223537,76,196,76000000,41000000,20000
3366,190769,74,176,42000000,26000000,3000
3367,201266,71,148,42000000,33000000,11000
3368,186674,71,170,4000000,27000000,7000
3369,202547,72,168,62000000,4000000,14000
3370,152883,76,190,19000000,13000000,6000
3371,222515,71,154,71000000,39000000,7000
3372,196916,74,163,69000000,35000000,30000
3373,198196,74,194,66000000,39000000,12000
3374,225844,66,141,,5000000,35000
3375,230452,72,172,18000000,950000,14000
3376,209973,74,194,66000000,42000000,17000
3377,213813,71,163,54000000,41000000,5000
3378,176693,71,196,34000000,21000000,7000
3379,225591,66,132,,46000000,18000
3380,170039,75,185,45000000,24000000,35000
3381,218936,70,157,89000000,39000000,6000
3382,226616,70,152,51000000,32000000,9000
3383,193336,76,205,46000000,26000000,18000
3384,211513,71,165,9000000,43000000,29000
3385,221753,73,165,73000000,36000000,16000
3386,224057,70,154,31000000,23000000,4000
3387,233529,70,165,53000000,36000000,15000
3388,241721,74,179,171000000,65000000,12000
3389,180281,67,148,52000000,24000000,8000
3390,51257,79,165,21000000,11000000,25000
3391,227642,70,165,69000000,46000000,6000
3392,202811,76,187,58000000,3000000,40000
3393,206651,70,159,49000000,3000000,9000
3394,240699,66,143,71000000,44000000,12000
3395,190779,69,154,56000000,27000000,6000
3396,191547,69,159,36000000,28000000,11000
3397,139836,72,170,25000000,13000000,10000
3398,211260,68,154,52000000,24000000,1000
3399,216380,70,143,48000000,33000000,10000
3400,226108,73,165,14000000,6000000,14000
3401,186684,74,183,53000000,24000000,14000
3402,203581,68,139,57000000,31000000,6000
3403,210237,68,159,66000000,39000000,16000
3404,230461,71,152,56000000,29000000,14000
3405,231485,73,159,,47000000,43000
3406,186941,75,190,36000000,2000000,15000
3407,205630,69,161,36000000,25000000,11000
3408,240190,71,174,75000000,37000000,15000
3409,202559,66,161,46000000,33000000,4000
3410,232255,67,159,72000000,43000000,11000
3411,237631,72,168,107000000,49000000,13000
3412,211265,69,181,35000000,24000000,15000
3413,213313,69,161,88000000,42000000,19000
3414,169281,70,174,4000000,27000000,11000
3415,199490,69,161,61000000,36000000,10000
3416,138306,71,170,22000000,16000000,6000
3417,226626,71,168,68000000,33000000,8000
3418,236610,72,174,148000000,65000000,32000
3419,207683,74,176,63000000,28000000,1000
3420,149571,69,168,15000000,900000,10000
3421,202052,72,172,8000000,41000000,31000
3422,201285,73,170,43000000,32000000,9000
3423,213317,70,148,41000000,3000000,8000
3424,213829,76,201,,46000000,54000
3425,203590,76,185,51000000,3000000,20000
3426,209990,76,198,45000000,29000000,10000
3427,223046,72,170,7000000,35000000,28000
3428,165190,72,161,4000000,21000000,27000
3429,234822,69,152,77000000,35000000,1000
3430,155463,75,181,4000000,24000000,22000
3431,182343,70,172,57000000,27000000,14000
3432,206152,72,179,37000000,27000000,8000
3433,149064,72,181,16000000,875000,11000
3434,214601,71,152,54000000,31000000,28000
3435,224841,73,154,71000000,37000000,23000
3436,167753,70,172,59000000,29000000,11000
3437,198474,71,152,51000000,3000000,7000
3438,200778,74,172,63000000,32000000,32000
3439,201290,74,196,,38000000,25000
3440,223818,74,185,53000000,25000000,8000
3441,213323,74,181,51000000,32000000,15000
3442,155979,69,163,,28000000,16000
3443,232523,73,154,102000000,43000000,11000
3444,178251,72,161,39000000,2000000,20000
3445,226380,70,170,,5000000,24000
3446,215373,72,154,65000000,42000000,10000
3447,219469,76,176,,42000000,18000
3448,223053,66,148,5000000,29000000,20000
3449,211022,67,159,7000000,42000000,7000
3450,230478,67,137,56000000,29000000,12000
3451,234574,72,157,96000000,47000000,26000
3452,190542,69,163,44000000,27000000,8000
3453,198479,76,203,3000000,23000000,18000
3454,199247,71,150,58000000,35000000,7000
3455,230479,69,161,56000000,29000000,20000
3456,189263,69,159,,31000000,18000
3457,219216,69,150,9000000,43000000,32000
3458,224336,73,161,45000000,31000000,7000
3459,234832,75,183,68000000,35000000,16000
3460,201041,72,172,6000000,29000000,13000
3461,208977,67,150,74000000,42000000,23000
3462,204370,72,163,6000000,38000000,13000
3463,210258,69,154,53000000,33000000,8000
3464,153938,70,181,13000000,675000,5000
3465,234578,71,146,51000000,29000000,35000
3466,243538,79,212,59000000,35000000,8000
3467,52306,73,185,35000000,18000000,24000
3468,227667,74,170,,46000000,17000
3469,228179,72,157,72000000,43000000,13000
3470,185427,76,198,5000000,25000000,11000
3471,188499,72,159,15000000,975000,2000
3472,203604,73,163,65000000,31000000,10000
3473,163156,74,192,4000000,21000000,27000
3474,230484,69,161,3000000,16000000,16000
3475,187988,64,141,48000000,24000000,11000
3476,202069,67,148,44000000,29000000,12000
3477,223573,75,196,4000000,24000000,6000
3478,214358,70,163,,41000000,4000
3479,221014,73,159,,5000000,11000
3480,232278,66,185,78000000,46000000,6000
3481,187478,72,179,36000000,21000000,24000
3482,230231,74,176,18000000,950000,15000
3483,180823,72,176,52000000,24000000,1000
3484,179544,69,168,38000000,21000000,32000
3485,189272,72,187,54000000,31000000,20000
3486,222041,71,176,116000000,49000000,1000
3487,210010,71,157,61000000,39000000,12000
3488,225114,71,152,63000000,41000000,7000
3489,233306,75,187,,42000000,31000
3490,188762,74,187,24000000,13000000,25000
3491,191066,72,172,53000000,31000000,20000
3492,202331,70,165,64000000,41000000,13000
3493,188763,71,154,46000000,23000000,10000
3494,192091,71,179,48000000,24000000,11000
3495,209756,73,170,41000000,24000000,15000
3496,211292,74,179,65000000,3000000,11000
3497,238940,74,194,76000000,33000000,1000
3498,199517,74,174,2000000,13000000,3000
3499,190557,70,159,31000000,2000000,6000
3500,219998,67,143,82000000,43000000,43000
3501,215135,71,159,31000000,21000000,14000
3502,215391,76,194,38000000,25000000,11000
3503,225887,69,161,,0,0
3504,241247,73,163,54000000,24000000,9000
3505,199776,74,174,45000000,26000000,17000
3506,203872,66,161,39000000,28000000,4000
3507,209504,73,165,7000000,4000000,24000
3508,210784,68,152,41000000,27000000,11000
3509,176992,70,172,31000000,18000000,6000
3510,189536,72,161,,32000000,14000
3511,214369,70,157,,3000000,22000
3512,220513,69,139,,39000000,31000
3513,231777,66,148,93000000,42000000,10000
3514,176481,71,185,,28000000,19000
3515,232546,68,141,5000000,33000000,11000
3516,233314,70,168,67000000,39000000,5000
3517,199779,75,185,63000000,34000000,18000
3518,203875,75,185,5000000,33000000,5000
3519,223332,68,165,,39000000,29000
3520,167524,71,172,36000000,22000000,32000
3521,187492,72,159,43000000,2000000,1000
3522,199781,70,163,49000000,25000000,13000
3523,210533,72,181,,39000000,18000
3524,218981,69,165,5000000,34000000,4000
3525,158309,73,165,54000000,25000000,14000
3526,181349,72,176,4000000,28000000,8000
3527,239718,70,150,88000000,55000000,7000
3528,52326,75,187,3000000,16000000,30000
3529,184422,74,179,616000,425000,5000
3530,211815,70,176,61000000,3000000,12000
3531,203368,71,161,49000000,37000000,4000
3532,215144,72,181,65000000,29000000,1000
3533,219496,78,185,66000000,39000000,4000
3534,189288,74,174,,24000000,18000
3535,207465,67,150,48000000,32000000,7000
3536,223593,74,187,62000000,4000000,11000
3537,48745,72,183,638000,425000,10000
3538,190569,75,194,27000000,18000000,5000
3539,173162,71,161,5000000,28000000,30000
3540,239210,73,176,83000000,38000000,11000
3541,237419,73,176,64000000,3000000,6000
3542,213613,73,172,65000000,42000000,12000
3543,222573,71,176,9000000,5000000,3000
3544,178029,69,154,53000000,27000000,11000
3545,188269,70,168,19000000,14000000,3000
3546,205934,71,141,61000000,35000000,18000
3547,212591,75,196,53000000,34000000,6000
3548,224367,73,185,25000000,18000000,8000
3549,192367,71,181,27000000,18000000,10000
3550,29552,70,157,,0,4000
3551,185200,72,168,44000000,21000000,5000
3552,205425,69,154,42000000,28000000,15000
3553,142705,69,176,16000000,1000000,8000
3554,214129,74,172,,39000000,12000
3555,230257,68,152,3000000,16000000,12000
3556,236401,72,137,63000000,39000000,8000
3557,200818,73,185,52000000,29000000,24000
3558,213106,70,183,45000000,31000000,12000
3559,217714,66,143,65000000,42000000,6000
3560,226162,67,143,93000000,44000000,15000
3561,163186,73,174,17000000,950000,8000
3562,246386,70,170,,0,0
3563,192114,73,165,77000000,35000000,7000
3564,213619,69,187,27000000,2000000,9000
3565,215155,67,143,57000000,36000000,12000
3566,163187,69,157,44000000,29000000,7000
3567,230516,76,212,54000000,3000000,22000
3568,234100,67,154,67000000,39000000,7000
3569,239732,73,170,85000000,55000000,4000
3570,185204,76,185,36000000,18000000,12000
3571,189300,69,146,72000000,32000000,1000
3572,202101,70,159,7000000,33000000,8000
3573,207733,72,176,,37000000,7000
3574,215157,69,161,45000000,29000000,10000
3575,229749,76,194,,35000000,13000
3576,205686,67,137,79000000,38000000,14000
3577,215414,74,161,4000000,19000000,7000
3578,219510,68,154,,42000000,20000
3579,234870,65,123,63000000,31000000,12000
3580,183414,71,159,,29000000,30000
3581,198264,71,157,58000000,32000000,7000
3582,210296,69,161,59000000,4000000,9000
3583,215160,72,185,61000000,37000000,9000
3584,177528,72,176,33000000,2000000,35000
3585,214393,73,174,34000000,25000000,3000
3586,230521,71,157,57000000,3000000,14000
3587,178297,70,161,36000000,22000000,7000
3588,186745,65,150,28000000,19000000,11000
3589,199290,71,163,63000000,33000000,11000
3590,178042,72,161,29000000,18000000,4000
3591,202107,72,170,56000000,31000000,22000
3592,208251,73,172,,38000000,40000
3593,234875,72,176,75000000,4000000,17000
3594,173179,74,194,29000000,18000000,20000
3595,189819,69,154,45000000,27000000,18000
3596,221820,71,152,72000000,33000000,14000
3597,186748,72,179,6000000,29000000,9000
3598,188540,71,159,62000000,33000000,31000
3599,193148,70,150,43000000,25000000,7000
3600,207997,76,196,,24000000,8000
3601,220029,72,150,,41000000,25000
3602,168317,74,187,25000000,2000000,8000
3603,16254,75,194,305000,210000,3000
3604,164478,74,174,31000000,25000000,5000
3605,234622,72,170,72000000,35000000,14000
3606,203903,73,161,,43000000,11000
3607,210303,72,174,52000000,31000000,5000
3608,211327,73,181,4000000,2000000,15000
3609,216191,73,179,68000000,31000000,5000
3610,221311,71,181,62000000,36000000,12000
3611,223615,70,159,34000000,22000000,11000
3612,225151,71,159,81000000,41000000,35000
3613,161663,72,190,1000000,725000,2000
3614,184703,65,148,41000000,24000000,21000
3615,215168,70,157,58000000,37000000,12000
3616,233600,70,170,86000000,39000000,1000
3617,172672,70,174,38000000,19000000,11000
3618,239744,71,161,128000000,55000000,9000
3619,191104,73,172,638000,425000,6000
3620,133249,73,190,27000000,15000000,12000
3621,199809,73,183,57000000,38000000,7000
3622,203393,74,194,,41000000,3000
3623,177537,70,165,36000000,24000000,11000
3624,192129,75,187,5000000,25000000,16000
3625,194945,72,174,,0,0
3626,207746,71,170,71000000,34000000,17000
3627,230530,69,165,18000000,950000,18000
3628,204163,72,176,45000000,34000000,10000
3629,223875,74,172,77000000,37000000,18000
3630,246403,71,159,,0,0
3631,224900,75,207,,0,0
3632,201093,72,143,8000000,41000000,32000
3633,187013,73,165,39000000,24000000,8000
3634,230278,69,152,63000000,33000000,20000
3635,173703,73,172,4000000,24000000,15000
3636,192647,74,176,54000000,31000000,7000
3637,204936,74,165,69000000,35000000,9000
3638,221832,69,163,,36000000,10000
3639,200073,75,187,45000000,28000000,11000
3640,215177,70,165,43000000,29000000,10000
3641,163209,70,159,,27000000,21000
3642,230281,69,165,63000000,33000000,20000
3643,204682,73,174,81000000,37000000,7000
3644,146059,72,176,680000,425000,6000
3645,219787,71,172,52000000,29000000,20000
3646,228747,72,172,74000000,44000000,11000
3647,182411,70,143,6000000,27000000,13000
3648,200588,74,170,,25000000,14000
3649,193420,67,154,,24000000,22000
3650,208015,71,165,5000000,25000000,13000
3651,214671,65,141,,39000000,17000
3652,240271,71,157,106000000,46000000,1000
3653,186511,73,174,2000000,13000000,5000
3654,220048,75,172,77000000,38000000,11000
3655,221584,74,179,39000000,3000000,8000
3656,237456,69,154,86000000,39000000,6000
3657,238224,77,192,56000000,42000000,6000
3658,197777,71,165,53000000,3000000,21000
3659,199313,72,159,49000000,25000000,16000
3660,210321,71,172,5000000,33000000,7000
3661,230289,68,148,31000000,16000000,11000
3662,235410,76,172,10000000,44000000,17000
3663,192658,70,159,42000000,25000000,27000
3664,201363,72,174,,39000000,19000
3665,230291,72,157,65000000,34000000,14000
3666,231571,70,139,73000000,46000000,4000
3667,183955,70,176,41000000,27000000,12000
3668,192660,75,205,61000000,36000000,24000
3669,201877,70,157,7000000,42000000,12000
3670,208277,72,148,39000000,31000000,6000
3671,49045,73,183,29000000,16000000,7000
3672,193429,67,132,,26000000,71000
3673,229526,71,168,83000000,36000000,1000
3674,235926,67,141,128000000,6000000,11000
3675,244374,70,159,164000000,6000000,1000
3676,190870,72,161,38000000,21000000,6000
3677,193686,73,174,44000000,26000000,21000
3678,224151,70,161,7000000,4000000,41000
3679,203672,67,152,,33000000,30000
3680,230296,68,146,65000000,34000000,11000
3681,212889,74,172,,33000000,13000
