Id;Location;Year;Kilometers_Driven;Fuel_Type
1453;Kochi;2014;35642;Petrol
1454;Kochi;2014;52895;Diesel
1455;Mumbai;2010;93000;Petrol
1456;Pune;2011;70000;Petrol
1457;Kolkata;2012;32048;Diesel
1458;Pune;2013;4700;Petrol
1459;Delhi;2014;71800;Diesel
1460;Coimbatore;2008;69078;Petrol
1461;Ahmedabad;2016;45000;Diesel
1462;Chennai;2016;15388;Diesel
1463;Mumbai;2004;98798;Petrol
1464;Hyderabad;2016;43000;Diesel
1465;Hyderabad;2012;85112;Diesel
1466;Kochi;2018;37804;Diesel
1467;Chennai;2014;45000;Diesel
1468;Pune;2011;116000;Diesel
1469;Chennai;2015;100073;Diesel
1470;Jaipur;2006;165000;Petrol
1471;Kolkata;2015;22000;Petrol
1472;Delhi;2017;9500;Petrol
1473;Hyderabad;2012;152000;Diesel
1474;Coimbatore;2019;17705;Petrol
1475;Mumbai;2016;12000;Petrol
1476;Hyderabad;2013;51000;Diesel
1477;Chennai;2009;42000;Diesel
1478;Delhi;2015;51000;Petrol
1479;Kochi;2017;42527;Petrol
1480;Kolkata;2014;45000;Diesel
1481;Kolkata;2011;70000;Diesel
1482;Mumbai;2009;92000;Diesel
1483;Hyderabad;2012;57156;Diesel
1484;Coimbatore;2016;53211;Petrol
1485;Kolkata;2019;80000;Diesel
1486;Bangalore;2009;74000;Diesel
1487;Kolkata;2011;37000;Diesel
1488;Mumbai;2013;64000;Diesel
1489;Pune;2013;57197;Petrol
1490;Chennai;2016;55000;Diesel
1491;Mumbai;2014;33000;Petrol
1492;Delhi;2008;70000;Petrol
1493;Delhi;2012;75000;Diesel
1494;Jaipur;2016;58095;Diesel
1495;Kolkata;2015;7445;Petrol
1496;Kochi;2016;17652;Diesel
1497;Kochi;2018;28321;Petrol
1498;Pune;2011;69000;Petrol
1499;Mumbai;2007;80000;Petrol
1500;Delhi;2014;42365;Petrol
1501;Delhi;2013;123000;Diesel
1502;Mumbai;2011;40000;Petrol
1503;Hyderabad;2016;30112;Diesel
1504;Kochi;2017;43775;Diesel
1505;Kochi;2019;26013;Diesel
1506;Mumbai;2012;56000;Petrol
1507;Hyderabad;2008;95000;Petrol
1508;Coimbatore;2014;41089;Diesel
1509;Mumbai;2011;41988;Diesel
1510;Delhi;2013;72486;Diesel
1511;Pune;2013;92000;Diesel
1512;Delhi;2013;40000;Petrol
1513;Bangalore;2014;56000;Diesel
1514;Mumbai;2008;125000;Petrol
1515;Kochi;2017;29219;Diesel
1516;Hyderabad;2018;39927;Diesel
1517;Kochi;2018;38593;Petrol
1518;Kolkata;2015;32000;Petrol
1519;Hyderabad;2017;28226;Diesel
1520;Pune;2014;95000;Diesel
1521;Chennai;2014;194000;Diesel
1522;Coimbatore;2016;14821;Petrol
1523;Bangalore;2012;52000;Petrol
1524;Mumbai;2016;33000;Diesel
1525;Chennai;2016;29200;Diesel
1526;Hyderabad;2012;99754;Diesel
1527;Chennai;2012;49000;Petrol
1528;Hyderabad;2005;299322;Diesel
1529;Coimbatore;2018;38310;Diesel
1530;Delhi;2014;56000;Diesel
1531;Kolkata;2017;31300;Diesel
1532;Coimbatore;2019;11241;Diesel
1533;Pune;2014;48000;Petrol
1534;Coimbatore;2019;23882;Petrol
1535;Hyderabad;2014;65000;Diesel
1536;Jaipur;2011;50000;Diesel
1537;Chennai;2014;25000;Diesel
1538;Chennai;2015;21000;Petrol
1539;Pune;2012;148000;Diesel
1540;Delhi;2016;68000;Petrol
1541;Bangalore;2014;52000;Diesel
1542;Jaipur;2016;19000;Diesel
1543;Mumbai;2011;74000;Diesel
1544;Coimbatore;2017;30279;Diesel
1545;Mumbai;2016;20000;Diesel
1546;Hyderabad;2013;34834;Petrol
1547;Pune;2015;90000;Diesel
1548;Coimbatore;2016;38730;Diesel
1549;Kochi;2016;57390;Diesel
1550;Kolkata;2016;100000;Diesel
1551;Kolkata;2011;50000;Petrol
1552;Coimbatore;2017;64961;Diesel
1553;Coimbatore;2014;72465;Petrol
1554;Hyderabad;2012;68776;Petrol
1555;Pune;2005;150000;Petrol
1556;Delhi;2012;68000;Diesel
1557;Delhi;2015;33000;Diesel
1558;Coimbatore;2017;22389;Petrol
1559;Mumbai;2012;90000;Diesel
1560;Chennai;2012;42000;Petrol
1561;Pune;2017;38767;Diesel
1562;Bangalore;2015;21000;Diesel
1563;Coimbatore;2010;59136;Petrol
1564;Kolkata;2014;36000;Diesel
1565;Chennai;2011;95000;Diesel
1566;Mumbai;2013;51000;Diesel
1567;Kochi;2011;36411;Petrol
1568;Mumbai;2017;40000;Diesel
1569;Pune;2016;27300;Petrol
1570;Kochi;2011;29813;Petrol
1571;Pune;2011;71000;Petrol
1572;Kolkata;2014;32000;Diesel
1573;Mumbai;2017;19234;CNG
1574;Jaipur;2017;50510;Diesel
1575;Pune;2011;102000;Diesel
1576;Kolkata;2014;42277;Diesel
1577;Mumbai;2014;46000;Diesel
1578;Chennai;2012;35000;Diesel
1579;Bangalore;2015;50000;Petrol
1580;Mumbai;2008;62000;Petrol
1581;Mumbai;2012;78000;Diesel
1582;Chennai;2011;79000;Diesel
1583;Kochi;2019;6773;Diesel
1584;Chennai;2010;135000;Diesel
1585;Kochi;2013;36716;Petrol
1586;Coimbatore;2013;65060;Petrol
1587;Delhi;2013;33000;Petrol
1588;Kolkata;2015;11110;Petrol
1589;Jaipur;2013;63000;Diesel
1590;Mumbai;2015;27030;Petrol
1591;Mumbai;2015;19600;Petrol
1592;Pune;2016;27755;Petrol
1593;Hyderabad;2013;20000;Petrol
1594;Kochi;2015;24782;Petrol
1595;Coimbatore;2014;47303;Petrol
1596;Delhi;2008;71000;Petrol
1597;Pune;2010;135000;Diesel
1598;Jaipur;2017;1000;Diesel
1599;Kolkata;2016;29000;Diesel
1600;Kochi;2016;36367;Petrol
1601;Bangalore;2015;38000;Petrol
1602;Hyderabad;2011;83969;Petrol
1603;Jaipur;2014;82621;Diesel
1604;Pune;2009;89000;Diesel
1605;Kolkata;2016;54000;Diesel
1606;Kochi;2015;61691;Diesel
1607;Chennai;2011;32200;Petrol
1608;Jaipur;2016;68630;Petrol
1609;Mumbai;2014;61000;Diesel
1610;Mumbai;2018;32644;Petrol
1611;Delhi;2012;85000;Diesel
1612;Mumbai;2008;75000;Petrol
1613;Kochi;2016;40347;Petrol
1614;Hyderabad;2012;60788;Diesel
1615;Kochi;2018;18664;Petrol
1616;Coimbatore;2017;57847;Diesel
1617;Bangalore;2012;52237;Petrol
1618;Chennai;2012;128000;Diesel
1619;Delhi;2011;54000;Petrol
1620;Bangalore;2014;49800;Petrol
1621;Kolkata;2012;98000;Diesel
1622;Delhi;2015;60095;Diesel
1623;Pune;2008;68000;Petrol
1624;Jaipur;2010;81402;Petrol
1625;Mumbai;2013;38000;Petrol
1626;Kochi;2011;92239;Diesel
1627;Ahmedabad;2017;49224;Diesel
1628;Jaipur;2004;12000;Petrol
1629;Pune;2010;54898;Petrol
1630;Mumbai;2018;2500;Petrol
1631;Kochi;2017;32838;Diesel
1632;Hyderabad;2006;27076;Petrol
1633;Kochi;2017;75445;Diesel
1634;Kochi;2015;46601;Petrol
1635;Kolkata;2012;72000;Diesel
1636;Pune;2017;27000;Diesel
1637;Coimbatore;2016;68193;Diesel
1638;Kochi;2017;34429;Diesel
1639;Delhi;2013;46000;Diesel
1640;Coimbatore;2013;80544;Diesel
1641;Jaipur;2011;42000;Petrol
1642;Bangalore;2011;94821;Diesel
1643;Jaipur;2006;100000;Petrol
1644;Mumbai;2014;57000;Diesel
1645;Hyderabad;2010;79894;Diesel
1646;Coimbatore;2011;44748;Petrol
1647;Mumbai;2013;31000;Petrol
1648;Coimbatore;2013;60587;Petrol
1649;Pune;2011;32000;Diesel
1650;Pune;2014;43772;Petrol
1651;Coimbatore;2017;23576;Petrol
1652;Hyderabad;2017;4000;Diesel
1653;Kolkata;2012;62000;Diesel
1654;Mumbai;2011;36000;Petrol
1655;Delhi;2014;80000;Petrol
1656;Pune;2012;137008;Diesel
1657;Delhi;2010;61001;Diesel
1658;Coimbatore;2015;52191;Petrol
1659;Hyderabad;2016;77076;Diesel
1660;Hyderabad;2008;56000;Petrol
1661;Kolkata;2013;21000;Petrol
1662;Delhi;2013;89429;Diesel
1663;Delhi;2012;45631;Petrol
1664;Jaipur;2013;53959;Petrol
1665;Kochi;2014;55804;Petrol
1666;Kochi;2016;25899;Petrol
1667;Pune;2008;82000;Diesel
1668;Mumbai;2014;52000;Diesel
1669;Pune;2013;20000;Petrol
1670;Hyderabad;2017;31829;Petrol
1671;Coimbatore;2016;18094;Petrol
1672;Jaipur;2011;80000;Diesel
1673;Mumbai;2015;11964;Diesel
1674;Coimbatore;2018;22684;Petrol
1675;Bangalore;2014;43521;Petrol
1676;Kochi;2014;49386;Petrol
1677;Delhi;2017;12248;Petrol
1678;Coimbatore;2014;67771;Diesel
1679;Delhi;2015;60007;Petrol
1680;Coimbatore;2011;48624;Petrol
1681;Kolkata;2014;30000;Diesel
1682;Delhi;2016;81605;Petrol
1683;Coimbatore;2017;32642;Diesel
1684;Pune;2014;34200;Petrol
1685;Chennai;2010;72204;Petrol
1686;Pune;2011;156347;Diesel
1687;Kochi;2017;47357;Diesel
1688;Coimbatore;2015;61738;Diesel
1689;Kochi;2018;32586;Diesel
1690;Coimbatore;2018;40129;Diesel
1691;Mumbai;2012;51000;Diesel
1692;Kochi;2018;10393;Petrol
1693;Mumbai;2011;46000;Petrol
1694;Chennai;2013;21000;Petrol
1695;Hyderabad;2011;113562;Diesel
1696;Mumbai;2011;100010;Diesel
1697;Mumbai;2013;63107;Petrol
1698;Jaipur;2017;58500;Petrol
1699;Pune;2007;90000;Diesel
1700;Chennai;2011;108242;Diesel
1701;Pune;2011;146300;Diesel
1702;Pune;2011;62943;Diesel
1703;Delhi;2013;65000;Diesel
1704;Pune;2018;1700;Petrol
1705;Kochi;2013;34697;Petrol
1706;Hyderabad;2012;58000;Petrol
1707;Mumbai;2015;32500;Diesel
1708;Coimbatore;2016;58661;Diesel
1709;Kochi;2017;37124;Petrol
1710;Delhi;2017;44000;Petrol
1711;Kolkata;2005;45200;Petrol
1712;Mumbai;2016;11000;Petrol
1713;Pune;2011;65000;Petrol
1714;Ahmedabad;2012;55005;Diesel
1715;Hyderabad;2011;81650;Diesel
1716;Chennai;2010;160000;Diesel
1717;Hyderabad;2015;169000;Diesel
1718;Hyderabad;2013;67263;Petrol
1719;Kochi;2012;44223;Petrol
1720;Coimbatore;2015;36840;Petrol
1721;Pune;2014;160000;Diesel
1722;Kolkata;2008;133000;Diesel
1723;Mumbai;2015;69123;Diesel
1724;Delhi;2017;38000;Diesel
1725;Mumbai;2017;5500;Petrol
1726;Kolkata;2015;1001;Diesel
1727;Pune;2007;59000;Petrol
1728;Delhi;2011;78256;Petrol
1729;Chennai;2016;90000;Petrol
1730;Kolkata;2016;18000;Petrol
1731;Kolkata;2012;60000;Diesel
1732;Jaipur;2011;130000;Diesel
1733;Coimbatore;2018;32851;Petrol
1734;Kolkata;2014;32000;Diesel
1735;Hyderabad;2014;62700;Diesel
1736;Jaipur;2010;71000;Diesel
1737;Kochi;2016;19947;Petrol
1738;Hyderabad;2012;91000;Diesel
1739;Hyderabad;2014;74000;Diesel
1740;Kochi;2018;55594;Diesel
1741;Hyderabad;2013;58000;Diesel
1742;Hyderabad;2012;110224;Diesel
1743;Ahmedabad;2010;21002;Petrol
1744;Pune;2017;121000;Diesel
1745;Jaipur;2010;73513;Petrol
1746;Jaipur;2015;34000;Petrol
1747;Coimbatore;2017;28371;Petrol
1748;Kochi;2013;74755;Diesel
1749;Kochi;2011;25805;Petrol
1750;Kochi;2015;82603;Petrol
1751;Chennai;2006;110000;Petrol
1752;Delhi;2012;88000;Diesel
1753;Chennai;2011;110000;Diesel
1754;Delhi;2017;15000;Petrol
1755;Mumbai;2013;70000;Diesel
1756;Pune;2008;150000;Diesel
1757;Hyderabad;2016;19000;Petrol
1758;Chennai;2011;37442;Petrol
1759;Coimbatore;2016;63111;Diesel
1760;Mumbai;2012;88000;Diesel
1761;Jaipur;2014;42355;Petrol
1762;Coimbatore;2011;75871;Petrol
1763;Mumbai;2011;65000;Diesel
1764;Pune;2015;69000;Diesel
1765;Jaipur;2011;79232;Diesel
1766;Pune;2007;220000;Petrol
1767;Kochi;2016;28470;Petrol
1768;Kolkata;2014;9759;Petrol
1769;Pune;2014;75216;Diesel
1770;Chennai;2017;8000;Petrol
1771;Mumbai;2014;59451;Petrol
1772;Hyderabad;2013;53996;Diesel
1773;Kochi;2018;15135;Petrol
1774;Chennai;2015;53000;Petrol
1775;Kolkata;2013;40000;Petrol
1776;Pune;2013;21107;Petrol
1777;Mumbai;2014;56000;Petrol
1778;Coimbatore;2017;19623;Petrol
1779;Kochi;2014;70963;Diesel
1780;Mumbai;2013;25755;CNG
1781;Mumbai;2013;51450;Diesel
1782;Pune;2012;75000;Diesel
1783;Coimbatore;2017;37832;Petrol
1784;Coimbatore;2016;43041;Petrol
1785;Hyderabad;2014;97236;Diesel
1786;Chennai;2010;83000;Diesel
1787;Delhi;2011;65000;Petrol
1788;Kochi;2018;46007;Petrol
1789;Kochi;2015;65925;Diesel
1790;Pune;2004;73500;Petrol
1791;Kolkata;2014;55000;Diesel
1792;Delhi;2012;115000;Diesel
1793;Kolkata;2017;31184;Petrol
1794;Pune;2017;41747;Diesel
1795;Kochi;2016;38143;Diesel
1796;Pune;2012;19030;Petrol
1797;Coimbatore;2019;20877;Petrol
1798;Mumbai;2016;23555;Petrol
1799;Bangalore;2013;29000;Diesel
1800;Pune;2013;61000;Petrol
1801;Kochi;2012;4187;Petrol
1802;Bangalore;2011;46000;Petrol
1803;Mumbai;2016;28000;Petrol
1804;Coimbatore;2014;83558;Diesel
1805;Hyderabad;2017;40000;Diesel
1806;Kolkata;2013;36000;Petrol
1807;Bangalore;2014;21000;Diesel
1808;Kochi;2013;62162;Diesel
1809;Hyderabad;2012;83000;Diesel
1810;Pune;2015;58000;Diesel
1811;Kochi;2011;62332;Petrol
1812;Kochi;2016;50867;Diesel
1813;Mumbai;2010;73000;Petrol
1814;Jaipur;2012;98008;Diesel
1815;Hyderabad;2015;36000;Diesel
1816;Kochi;2019;27339;Petrol
1817;Kolkata;2017;25000;Diesel
1818;Kolkata;2014;37000;Petrol
1819;Hyderabad;2015;56000;Diesel
1820;Kolkata;2015;27000;Petrol
1821;Kolkata;2012;37000;Petrol
1822;Kolkata;2017;10500;Diesel
1823;Ahmedabad;2014;49000;Diesel
1824;Mumbai;2017;7000;Diesel
1825;Coimbatore;2017;71256;Diesel
1826;Kochi;2012;83184;Petrol
1827;Kolkata;2013;87284;Diesel
1828;Mumbai;2016;7000;Diesel
1829;Pune;2015;29000;Diesel
1830;Coimbatore;2017;33552;Diesel
1831;Bangalore;2013;64000;Diesel
1832;Jaipur;2011;82000;Petrol
1833;Mumbai;2012;70000;Petrol
1834;Hyderabad;2013;166194;Diesel
1835;Delhi;2015;58000;Petrol
1836;Chennai;2010;77000;Petrol
1837;Pune;2009;73204;Diesel
1838;Hyderabad;2007;70000;Petrol
1839;Delhi;2014;79870;Diesel
1840;Delhi;2013;90000;Diesel
1841;Mumbai;2016;17000;Petrol
1842;Kochi;2018;46493;Petrol
1843;Pune;2009;68000;Petrol
1844;Hyderabad;2017;2000;Diesel
1845;Pune;1999;140000;Petrol
1846;Pune;2013;255000;Diesel
1847;Coimbatore;2014;45535;Diesel
1848;Coimbatore;2016;39228;Petrol
1849;Mumbai;2011;57000;Petrol
1850;Chennai;2008;85445;Petrol
1851;Delhi;2015;54000;Diesel
1852;Mumbai;2014;53000;Petrol
1853;Jaipur;2014;60000;Petrol
1854;Coimbatore;2015;65668;Diesel
1855;Ahmedabad;2011;100000;Diesel
1856;Kolkata;2018;1800;Petrol
1857;Hyderabad;2007;96000;Petrol
1858;Pune;2009;44200;Petrol
1859;Ahmedabad;2018;14000;Petrol
1860;Chennai;2013;720000;Diesel
1861;Delhi;2012;73000;Diesel
1862;Delhi;2011;68000;Petrol
1863;Jaipur;2017;19543;Diesel
1864;Bangalore;2014;38000;Diesel
1865;Delhi;2014;32805;Diesel
1866;Kochi;2016;44782;Diesel
1867;Kochi;2016;55700;Diesel
1868;Delhi;2012;60000;Diesel
1869;Hyderabad;2014;56000;Petrol
1870;Delhi;2011;60000;Diesel
1871;Mumbai;2010;78563;Diesel
1872;Mumbai;2014;34669;Petrol
1873;Delhi;2017;17000;Petrol
1874;Delhi;2016;66000;Diesel
1875;Pune;2014;102418;Diesel
1876;Kolkata;2014;48800;Petrol
1877;Kochi;2019;10601;Diesel
1878;Pune;2017;8200;Diesel
1879;Jaipur;2012;100000;Petrol
1880;Pune;2012;78000;Diesel
1881;Kolkata;2015;50000;Diesel
1882;Chennai;2006;89327;Diesel
1883;Chennai;2007;98000;Petrol
1884;Kochi;2017;24700;Petrol
1885;Delhi;2018;6000;Diesel
1886;Delhi;2018;9434;Petrol
1887;Mumbai;2012;29000;Petrol
1888;Coimbatore;2017;22440;Diesel
1889;Mumbai;2015;73070;Petrol
1890;Kolkata;2016;21771;Petrol
1891;Delhi;2014;62000;Diesel
1892;Kochi;2017;37024;Diesel
1893;Kochi;2014;60336;Diesel
1894;Kolkata;2014;26008;Petrol
1895;Jaipur;2010;90000;Diesel
1896;Coimbatore;2018;35569;Petrol
1897;Kolkata;2013;40000;Diesel
1898;Kolkata;2015;45000;Petrol
1899;Delhi;2015;42000;Petrol
1900;Coimbatore;2012;46913;Diesel
1901;Delhi;2014;62000;Diesel
1902;Ahmedabad;2017;15000;Diesel
1903;Kolkata;2002;69000;Diesel
1904;Hyderabad;2012;41367;Diesel
1905;Kochi;2018;15982;Petrol
1906;Hyderabad;2013;99595;Diesel
1907;Bangalore;2002;63000;Diesel
1908;Delhi;2012;49000;Diesel
1909;Kochi;2013;48272;Diesel
1910;Delhi;2008;63000;Petrol
1911;Ahmedabad;2016;77000;CNG
1912;Mumbai;2013;11734;Petrol
1913;Kochi;2014;62012;Diesel
1914;Chennai;2017;46000;CNG
1915;Coimbatore;2016;45449;Diesel
1916;Mumbai;2004;85000;Petrol
1917;Jaipur;2005;88000;Petrol
1918;Kochi;2013;45330;Diesel
1919;Mumbai;2012;88000;Petrol
1920;Delhi;2016;45376;Diesel
1921;Pune;2014;81000;Diesel
1922;Kochi;2012;83381;Petrol
1923;Kochi;2017;78526;Diesel
1924;Coimbatore;2017;27313;Diesel
1925;Coimbatore;2015;42747;Diesel
1926;Coimbatore;2015;42265;Diesel
1927;Mumbai;2009;21000;Petrol
1928;Ahmedabad;2016;55100;Diesel
1929;Chennai;2014;70000;Diesel
1930;Mumbai;2007;55000;Petrol
1931;Kolkata;2012;58235;Petrol
1932;Mumbai;2017;26000;Diesel
1933;Kolkata;2011;35000;Diesel
1934;Jaipur;2017;24000;Diesel
1935;Ahmedabad;2016;98000;Diesel
1936;Coimbatore;2016;44487;Diesel
1937;Chennai;2008;65000;Petrol
1938;Delhi;2015;34951;Petrol
1939;Kolkata;2015;52373;Diesel
1940;Hyderabad;2010;66285;Diesel
1941;Mumbai;2012;66000;Diesel
1942;Hyderabad;2016;43000;Diesel
1943;Mumbai;2013;45200;Diesel
1944;Mumbai;2016;41000;Diesel
1945;Kochi;2017;39430;Petrol
1946;Coimbatore;2014;83274;Diesel
1947;Coimbatore;2017;32324;Diesel
1948;Mumbai;2011;49999;Petrol
1949;Bangalore;2014;66000;Diesel
1950;Delhi;2012;54000;Petrol
1951;Jaipur;2009;80000;Diesel
1952;Bangalore;2011;72000;Petrol
1953;Pune;2017;44865;Diesel
1954;Delhi;2017;22000;Diesel
1955;Delhi;2013;57478;Petrol
1956;Hyderabad;2011;75000;Diesel
1957;Kochi;2015;50624;Diesel
1958;Bangalore;2018;75000;Diesel
1959;Chennai;2006;87000;Petrol
1960;Mumbai;2010;62000;Petrol
1961;Hyderabad;2016;41372;Diesel
1962;Ahmedabad;2015;70000;Diesel
1963;Pune;2017;35000;Diesel
1964;Hyderabad;2006;71993;Petrol
1965;Chennai;2013;62000;Diesel
1966;Delhi;2015;51000;Diesel
1967;Kochi;2016;26038;Petrol
1968;Kochi;2018;37713;Diesel
1969;Kolkata;2011;78088;Petrol
1970;Kochi;2017;30453;Diesel
1971;Pune;2016;54000;Petrol
1972;Chennai;2011;190000;Diesel
1973;Hyderabad;2012;65097;Petrol
1974;Coimbatore;2018;28060;Petrol
1975;Pune;2012;282000;Petrol
1976;Jaipur;2009;111000;Petrol
1977;Kochi;2013;63295;Diesel
1978;Mumbai;2015;35770;Petrol
1979;Hyderabad;2012;125928;Diesel
1980;Kolkata;2015;45000;Diesel
1981;Hyderabad;2013;21000;Diesel
1982;Mumbai;2011;54774;Petrol
1983;Chennai;2014;41123;Petrol
1984;Bangalore;2017;17465;Petrol
1985;Chennai;2014;48000;Diesel
1986;Chennai;2011;173000;Diesel
1987;Pune;2018;12000;Diesel
1988;Mumbai;2012;34000;Diesel
1989;Hyderabad;2012;71360;Diesel
1990;Mumbai;2012;74000;Diesel
1991;Kochi;2018;28937;Diesel
1992;Hyderabad;2012;82085;Diesel
1993;Bangalore;2011;68465;Petrol
1994;Coimbatore;2013;63854;Diesel
1995;Chennai;2018;3000;Diesel
1996;Delhi;2009;65055;Petrol
1997;Hyderabad;2015;120000;Diesel
1998;Mumbai;2014;64241;Petrol
1999;Pune;2001;121000;Diesel
2000;Pune;2008;2200;Petrol
2001;Pune;2008;88123;Diesel
2002;Pune;2014;79000;Diesel
2003;Bangalore;2016;28143;Diesel
2004;Mumbai;2015;23001;Petrol
2005;Ahmedabad;2013;82002;Diesel
2006;Bangalore;2009;75000;Diesel
2007;Kochi;2016;37451;Diesel
2008;Hyderabad;2017;67000;Diesel
2009;Pune;2016;25000;Petrol
2010;Mumbai;2017;12000;Petrol
2011;Kolkata;2017;25000;Petrol
2012;Jaipur;2011;95936;Petrol
2013;Kochi;2018;5354;Petrol
2014;Chennai;2016;42000;Petrol
2015;Coimbatore;2014;44282;Diesel
2016;Delhi;2012;70000;Diesel
2017;Mumbai;2013;31400;Diesel
2018;Pune;2016;50000;Diesel
2019;Bangalore;2011;53000;Diesel
2020;Pune;2014;21727;Petrol
2021;Bangalore;2012;43000;Diesel
2022;Kolkata;2013;75000;Diesel
2023;Bangalore;2014;73557;Diesel
2024;Delhi;2012;44555;Diesel
2025;Coimbatore;2013;54885;Petrol
2026;Mumbai;2011;76000;Diesel
2027;Jaipur;2006;101000;Petrol
2028;Chennai;2005;66000;Petrol
2029;Coimbatore;2013;84360;Petrol
2030;Mumbai;2016;25121;Diesel
2031;Pune;2015;100000;Diesel
2032;Kolkata;2011;66035;Diesel
2033;Pune;2015;190000;Petrol
2034;Hyderabad;2014;85670;Diesel
2035;Hyderabad;2015;35000;Diesel
2036;Mumbai;2016;8000;Petrol
2037;Hyderabad;2007;162000;Diesel
2038;Kolkata;2012;60000;Petrol
2039;Hyderabad;2010;70600;Petrol
2040;Bangalore;2011;25000;Petrol
2041;Hyderabad;2012;75000;Diesel
2042;Coimbatore;2014;85071;Diesel
2043;Ahmedabad;2015;40000;Petrol
2044;Delhi;2013;67000;Diesel
2045;Hyderabad;2009;55000;Diesel
2046;Mumbai;2008;62000;Petrol
2047;Coimbatore;2017;22526;Petrol
2048;Hyderabad;2012;57788;Petrol
2049;Jaipur;2013;72000;Diesel
2050;Mumbai;2014;83128;Diesel
2051;Chennai;2011;75000;Petrol
2052;Ahmedabad;2013;58000;Diesel
2053;Hyderabad;2009;26000;Diesel
2054;Mumbai;2017;1000;Petrol
2055;Kochi;2015;59751;Diesel
2056;Kochi;2015;29966;Diesel
2057;Kolkata;2009;65000;Diesel
2058;Kochi;2015;75863;Diesel
2059;Mumbai;2013;54000;CNG
2060;Bangalore;2014;24000;Diesel
2061;Coimbatore;2018;33218;Diesel
2062;Kolkata;2015;33425;Petrol
2063;Pune;2013;47000;Petrol
2064;Chennai;2015;41000;Diesel
2065;Delhi;2011;62000;Petrol
2066;Delhi;2016;47035;Diesel
2067;Pune;2008;56230;Petrol
2068;Chennai;2007;55000;Petrol
2069;Jaipur;2014;70669;Diesel
2070;Pune;2012;69000;Petrol
2071;Pune;2011;65000;Petrol
2072;Mumbai;2009;30000;Diesel
2073;Hyderabad;2017;2000;Diesel
2074;Pune;2011;24255;Petrol
2075;Chennai;2015;40000;Petrol
2076;Kolkata;2014;40000;Diesel
2077;Jaipur;2010;26000;Petrol
2078;Jaipur;2011;105000;Diesel
2079;Kolkata;2015;2800;Diesel
2080;Mumbai;2014;71000;Diesel
2081;Mumbai;2015;32896;Petrol
2082;Hyderabad;2012;45000;Petrol
2083;Bangalore;2015;65000;Diesel
2084;Mumbai;2013;45200;Diesel
2085;Hyderabad;2008;82167;Petrol
2086;Coimbatore;2016;37429;Petrol
2087;Hyderabad;2016;46000;Diesel
2088;Delhi;2011;67031;Petrol
2089;Mumbai;2013;30000;Diesel
2090;Mumbai;2016;47691;Petrol
2091;Jaipur;2011;32531;Diesel
2092;Hyderabad;2013;71336;Diesel
2093;Chennai;2006;196000;Diesel
2094;Kolkata;2015;28193;Diesel
2095;Coimbatore;2019;2526;Petrol
2096;Coimbatore;2004;52146;Petrol
2097;Hyderabad;2013;85000;Diesel
2098;Ahmedabad;2015;20780;Petrol
2099;Mumbai;2014;43081;Petrol
2100;Mumbai;2010;35000;Petrol
2101;Kolkata;2013;36000;Diesel
2102;Mumbai;2007;67000;Petrol
2103;Mumbai;2016;34079;Diesel
2104;Coimbatore;2010;77849;Petrol
2105;Jaipur;2013;86000;Petrol
2106;Pune;2015;110000;Diesel
2107;Hyderabad;2015;116000;Diesel
2108;Coimbatore;2016;41840;Diesel
2109;Hyderabad;2015;19317;Diesel
2110;Pune;2014;41000;CNG
2111;Kochi;2017;25601;Diesel
2112;Jaipur;2015;83950;Diesel
2113;Pune;2012;60000;Petrol
2114;Hyderabad;2015;50000;Diesel
2115;Kolkata;2009;37000;Petrol
2116;Hyderabad;2011;76976;Petrol
2117;Kochi;2018;21684;Petrol
2118;Delhi;2015;62000;Diesel
2119;Mumbai;2007;1261;Petrol
2120;Coimbatore;2017;59450;Petrol
2121;Coimbatore;2018;24465;Diesel
2122;Delhi;2014;55000;Petrol
2123;Mumbai;2017;2000;Petrol
2124;Kochi;2017;25040;Petrol
2125;Bangalore;2008;84000;Petrol
2126;Pune;2007;170428;Diesel
2127;Mumbai;2016;12573;Petrol
2128;Hyderabad;2012;88000;Diesel
2129;Delhi;2012;86000;Diesel
2130;Coimbatore;2012;51019;Petrol
2131;Mumbai;2013;45000;Petrol
2132;Jaipur;2012;51000;Diesel
2133;Pune;2007;92000;Diesel
2134;Pune;2017;29000;Diesel
2135;Bangalore;2009;70521;Petrol
2136;Kolkata;2010;51000;Diesel
2137;Hyderabad;2012;52618;Petrol
2138;Delhi;2013;68000;Diesel
2139;Kochi;2016;29022;Diesel
2140;Chennai;2017;80000;Diesel
2141;Chennai;2016;78000;Diesel
2142;Pune;2012;100000;Petrol
2143;Coimbatore;2015;31412;Petrol
2144;Mumbai;2010;78000;Diesel
2145;Hyderabad;2018;14000;Diesel
2146;Bangalore;2011;80000;Diesel
2147;Mumbai;2014;46738;Petrol
2148;Coimbatore;2013;54884;Petrol
2149;Delhi;2012;74500;Diesel
2150;Coimbatore;2016;67472;Diesel
2151;Hyderabad;2013;84000;Diesel
2152;Kolkata;2011;77400;Diesel
2153;Mumbai;2017;14470;Diesel
2154;Kolkata;2014;52108;Diesel
2155;Kolkata;2013;40000;Petrol
2156;Jaipur;2014;105044;Diesel
2157;Delhi;2016;24347;Petrol
2158;Ahmedabad;2014;58000;Diesel
2159;Kochi;2014;49663;Diesel
